id,Location,lat-lon,Area,Bed,Bath,Price
330,"Middle Monipur, Mirpur, Dhaka",,400 sqft,1,1,6.5 Thousand
331,"Baridhara, Dhaka",,"4,700 sqft",4,4,3 Lakh
332,"Banani, Dhaka",,"3,000 sqft",4,5,90 Thousand
333,"Sector 3, Uttara, Dhaka",,"1,700 sqft",3,4,50 Thousand
334,"Tejkunipara, Tejgaon, Dhaka",,"1,200 sqft",3,3,30 Thousand
335,"Gulshan 2, Gulshan, Dhaka",,"3,000 sqft",4,4,1.35 Lakh
336,"Sector 13, Uttara, Dhaka",,"2,015 sqft",4,4,45 Thousand
337,"Sector 12, Uttara, Dhaka",,600 sqft,2,1,11 Thousand
338,"Baridhara, Dhaka",,"2,500 sqft",3,3,1.3 Lakh
339,"Block C, Nobodoy Housing Society, Mohammadpur, Dhaka",,700 sqft,2,2,13 Thousand
340,"South Monipur, Mirpur, Dhaka",,850 sqft,2,2,11 Thousand
341,"West Shewrapara, Mirpur, Dhaka",,700 sqft,2,2,12 Thousand
342,"Block G, Bashundhara R-A, Dhaka",,"1,500 sqft",3,3,30 Thousand
343,"Block G, Bashundhara R-A, Dhaka",,"1,600 sqft",3,3,25 Thousand
344,"Block D, Bashundhara R-A, Dhaka",,"1,800 sqft",3,3,30 Thousand
345,"Block K, Bashundhara R-A, Dhaka",,"1,200 sqft",3,3,21 Thousand
346,"Sector 9, Uttara, Dhaka",,800 sqft,2,2,18 Thousand
347,"Block D, Bashundhara R-A, Dhaka",,"1,350 sqft",3,3,25 Thousand
348,"Block D, Bashundhara R-A, Dhaka",,"1,450 sqft",3,3,30 Thousand
349,"Monipuripara, Tejgaon, Dhaka",,"1,600 sqft",3,4,45.5 Thousand
350,"Gulbag, Malibagh, Dhaka",,600 sqft,2,1,14 Thousand
351,"Road No 5, Sector 10, Uttara, Dhaka",,"1,943 sqft",3,3,28 Thousand
352,"Sector 10, Uttara, Dhaka",,"1,710 sqft",3,4,30 Thousand
353,"Baridhara, Dhaka",,"3,300 sqft",4,4,2 Lakh
354,"Block I, Bashundhara R-A, Dhaka",,"1,050 sqft",3,2,27 Thousand
355,"Sector 10, Uttara, Dhaka",,"1,600 sqft",3,4,22 Thousand
356,"Pallabi Extension, Pallabi, Mirpur, Dhaka",,"1,200 sqft",3,3,16.53 Thousand
357,"Shantibag, Malibagh, Dhaka",,"1,300 sqft",3,3,22 Thousand
358,"Block C, Bashundhara R-A, Dhaka",,"1,215 sqft",3,3,20 Thousand
359,"Block A, Bashundhara R-A, Dhaka",,"2,200 sqft",3,4,42 Thousand
360,"Modhubag, Boro Maghbazar, Maghbazar, Dhaka",,"1,400 sqft",3,3,25 Thousand
361,"Sector 13, Uttara, Dhaka",,"1,500 sqft",3,3,27 Thousand
362,"Block L, Bashundhara R-A, Dhaka",,"1,500 sqft",4,3,17.5 Thousand
363,"Sector 4, Uttara, Dhaka",,"1,550 sqft",3,4,45 Thousand
364,"Baridhara, Dhaka",,"2,700 sqft",3,3,1.1 Lakh
365,"Banani, Dhaka",,"2,200 sqft",3,4,1 Lakh
366,"Dhanmondi, Dhaka",,"2,050 sqft",3,4,60 Thousand
367,"Sector 3, Uttara, Dhaka",,"1,850 sqft",3,4,65 Thousand
368,"Block H, Bashundhara R-A, Dhaka",,"1,500 sqft",3,3,20 Thousand
369,"Block B, Bashundhara R-A, Dhaka",,"1,400 sqft",3,3,30 Thousand
370,"South Pirerbag, Pirerbag, Mirpur, Dhaka",,600 sqft,2,1,8.5 Thousand
371,"Dhanmondi, Dhaka",,"1,500 sqft",3,3,30 Thousand
372,"Sector 11, Uttara, Dhaka",,"1,480 sqft",3,4,35 Thousand
373,"Road No 5, Sector 10, Uttara, Dhaka",,"2,150 sqft",3,3,35 Thousand
374,"Banani, Dhaka",,"3,245 sqft",4,4,1.1 Lakh
375,"Banani, Dhaka",,"3,245 sqft",4,4,1.1 Lakh
376,"Banani, Dhaka",,"3,245 sqft",4,4,1.1 Lakh
377,"Block J, Baridhara, Dhaka",,"3,100 sqft",4,4,1.5 Lakh
378,"Banani, Dhaka",,"3,245 sqft",4,4,1.1 Lakh
379,"Avenue 1, Mirpur DOHS, Mirpur, Dhaka",,"1,165 sqft",2,3,26 Thousand
380,"Nikunja 2, Nikunja, Dhaka",,"1,500 sqft",3,3,28 Thousand
381,"Block D, Section 12, Mirpur, Dhaka",,950 sqft,3,2,13.5 Thousand
382,"Sector 4, Uttara, Dhaka",,"1,530 sqft",3,4,30 Thousand
383,"South Pirerbag, Pirerbag, Mirpur, Dhaka",,600 sqft,1,1,7.5 Thousand
384,"Block A, Niketan, Dhaka",,"1,750 sqft",3,2,1.1 Lakh
385,"Block I, Bashundhara R-A, Dhaka",,"2,250 sqft",3,4,30 Thousand
386,"Malibagh, Dhaka",,800 sqft,2,2,17 Thousand
387,"Block A, Bashundhara R-A, Dhaka",,"1,450 sqft",3,3,1.2 Lakh
388,"Cantonment, Dhaka",,"1,450 sqft",3,4,30 Thousand
389,"Sector 10, Uttara, Dhaka",,"1,050 sqft",3,2,16 Thousand
390,"Block D, Bashundhara R-A, Dhaka",,"1,250 sqft",3,3,30 Thousand
391,"Sector 10, Uttara, Dhaka",,"1,600 sqft",3,3,20 Thousand
392,"Block C, Bashundhara R-A, Dhaka",,"1,700 sqft",3,3,30 Thousand
393,"Block A, Sat Masjid Housing, Mohammadpur, Dhaka",,950 sqft,2,3,21 Thousand
394,"Block H, Banasree, Dhaka",,"1,550 sqft",4,4,31 Thousand
395,"Niketan, Dhaka",,"2,075 sqft",3,4,45 Thousand
396,"Sector 10, Uttara, Dhaka",,"1,400 sqft",3,3,22 Thousand
397,"Sector 12, Uttara, Dhaka",,850 sqft,2,2,16 Thousand
398,"Block C, Bashundhara R-A, Dhaka",,"2,600 sqft",3,4,42 Thousand
399,"Shahbagh, Dhaka",,600 sqft,1,1,17 Thousand
400,"Dhanmondi, Dhaka",,850 sqft,3,3,25 Thousand
401,"Block A, Sat Masjid Housing, Mohammadpur, Dhaka",,950 sqft,2,3,21 Thousand
402,"PC Culture Housing, Mohammadpur, Dhaka",,750 sqft,2,2,13 Thousand
403,"Sector 11, Uttara, Dhaka",,"1,500 sqft",4,3,40 Thousand
404,"Sector 11, Uttara, Dhaka",,"1,500 sqft",4,3,40 Thousand
405,"Sector 11, Uttara, Dhaka",,"1,500 sqft",4,4,40 Thousand
406,"Block D, Bashundhara R-A, Dhaka",,"3,000 sqft",3,5,55 Thousand
407,"Baridhara DOHS, Dhaka",,"1,500 sqft",3,3,57 Thousand
408,"Sector 11, Uttara, Dhaka",,"1,500 sqft",4,4,40 Thousand
409,"Sector 11, Uttara, Dhaka",,"1,500 sqft",4,4,40 Thousand
410,"Banasree, Dhaka",,"1,200 sqft",3,3,20 Thousand
411,"Sector 4, Uttara, Dhaka",,"1,875 sqft",3,3,50 Thousand
412,"Nikunja 2, Nikunja, Dhaka",,"1,500 sqft",3,3,45 Thousand
413,"Baitul Aman Housing Society, Adabor, Dhaka",,"1,200 sqft",3,3,20 Thousand
414,"Block E, Banasree, Dhaka",,"1,075 sqft",3,2,19.26 Thousand
415,"Baridhara, Dhaka",,"2,500 sqft",4,4,1.6 Lakh
416,"Gulshan 2, Gulshan, Dhaka",,"2,250 sqft",3,3,1.1 Lakh
417,"Uttar Badda, Badda, Dhaka",,"1,250 sqft",3,3,22 Thousand
418,"Sector 4, Uttara, Dhaka",,"1,300 sqft",3,3,28 Thousand
419,"Khilkhet, Dhaka",,750 sqft,2,2,12 Thousand
420,"Baridhara, Dhaka",,"4,000 sqft",4,4,2.5 Lakh
421,"Block D, Bashundhara R-A, Dhaka",,"1,250 sqft",3,3,21 Thousand
422,"Pirerbag, Mirpur, Dhaka",,970 sqft,3,3,13 Thousand
423,"Block B, Bashundhara R-A, Dhaka",,"2,100 sqft",4,5,67.5 Thousand
424,"Baridhara DOHS, Dhaka",,"1,350 sqft",3,3,70 Thousand
425,"Block C, Bashundhara R-A, Dhaka",,"1,700 sqft",3,3,30 Thousand
426,"Mohammadi Housing LTD., Mohammadpur, Dhaka",,"1,600 sqft",3,3,27 Thousand
427,"Uttar Badda, Badda, Dhaka",,"1,765 sqft",3,3,20 Thousand
428,"Block F, Bashundhara R-A, Dhaka",,"1,500 sqft",3,3,25 Thousand
429,"Gulshan 1, Gulshan, Dhaka",,"2,600 sqft",4,4,85 Thousand
430,"Malibagh, Dhaka",,700 sqft,2,2,20 Thousand
431,"Baitul Aman Housing Society, Adabor, Dhaka",,"1,200 sqft",3,3,20 Thousand
432,"Cantonment, Dhaka",,"1,350 sqft",3,4,22 Thousand
433,"Block A, Nobodoy Housing Society, Mohammadpur, Dhaka",,"1,000 sqft",3,2,16 Thousand
434,"Banani, Dhaka",,"1,600 sqft",3,3,45 Thousand
435,"Baitul Aman Housing Society, Adabor, Dhaka",,"1,200 sqft",3,3,20 Thousand
436,"Uttara, Dhaka",,900 sqft,3,3,30 Thousand
437,"Block A, Chad Uddan Housing, Mohammadpur, Dhaka",,950 sqft,3,2,15 Thousand
438,"Block G, Bashundhara R-A, Dhaka",,"1,500 sqft",3,3,50 Thousand
439,"Block H, Banasree, Dhaka",,"1,550 sqft",4,4,30 Thousand
440,"Gulshan 2, Gulshan, Dhaka",,"2,200 sqft",3,3,90 Thousand
441,"Dhanmondi, Dhaka",,"1,200 sqft",3,3,33 Thousand
442,"Monipuripara, Tejgaon, Dhaka",,900 sqft,2,2,18 Thousand
443,"Block C, Bashundhara R-A, Dhaka",,"1,320 sqft",3,4,25 Thousand
444,"Tejgaon, Dhaka",,950 sqft,3,2,23 Thousand
445,"Uttara, Dhaka",,"1,800 sqft",3,3,30 Thousand
446,"Block G, Bashundhara R-A, Dhaka",,"1,600 sqft",3,3,25 Thousand
447,"Gulshan 2, Gulshan, Dhaka",,"3,800 sqft",3,4,3 Lakh
448,"Baitul Aman Housing Society, Adabor, Dhaka",,"1,200 sqft",3,3,20 Thousand
449,"Baitul Aman Housing Society, Adabor, Dhaka",,"1,200 sqft",3,3,20 Thousand
450,"Mirpur, Dhaka",,"1,350 sqft",3,3,20 Thousand
451,"Mirpur, Dhaka",,"1,000 sqft",2,3,13 Thousand
452,"Baitul Aman Housing Society, Adabor, Dhaka",,"1,200 sqft",3,3,20 Thousand
453,"Block C, Bashundhara R-A, Dhaka",,"1,810 sqft",3,3,30 Thousand
454,"East Goran, Goran, Khilgaon, Dhaka",,980 sqft,2,2,9 Thousand
455,"Khilgaon, Dhaka",,700 sqft,2,2,13 Thousand
456,"Mohammadpur, Dhaka",,750 sqft,2,2,25 Thousand
457,"Sector 3, Uttara, Dhaka",,"1,500 sqft",3,3,26 Thousand
458,"Mohammadpur, Dhaka",,750 sqft,2,2,14 Thousand
459,"Shyamoli Housing, Shekhertek, Mohammadpur, Dhaka",,"1,400 sqft",3,3,18 Thousand
460,"Mirpur, Dhaka",,"1,350 sqft",3,3,20 Thousand
461,"Baridhara, Dhaka",,"3,200 sqft",4,4,2 Lakh
462,"Block B, Aftab Nagar, Dhaka",,"1,200 sqft",3,2,20 Thousand
463,"Sector 11, Uttara, Dhaka",,900 sqft,2,2,21 Thousand
464,"Baitul Aman Housing Society, Adabor, Dhaka",,"1,200 sqft",3,3,20 Thousand
465,"Block H, Bashundhara R-A, Dhaka",,"1,500 sqft",3,3,26 Thousand
466,"Section 12, Mirpur, Dhaka",,"1,600 sqft",3,3,19 Thousand
467,"Lalmatia, Dhaka",,"1,580 sqft",3,3,35 Thousand
468,"Block H, Bashundhara R-A, Dhaka",,"2,045 sqft",3,4,1 Lakh
469,"Gulshan 2, Gulshan, Dhaka",,"4,200 sqft",4,4,2.5 Lakh
470,"Mohammadi Housing LTD., Mohammadpur, Dhaka",,"1,100 sqft",3,3,16.5 Thousand
471,"Baitul Aman Housing Society, Adabor, Dhaka",,"1,200 sqft",3,3,20 Thousand
472,"Block D, Bashundhara R-A, Dhaka",,"2,800 sqft",4,4,50 Thousand
473,"Sector 10, Uttara, Dhaka",,800 sqft,2,2,16 Thousand
474,"Block C, Bashundhara R-A, Dhaka",,"1,700 sqft",3,3,30 Thousand
475,"South Monipur, Mirpur, Dhaka",,"1,150 sqft",3,2,15 Thousand
476,"Block G, Bashundhara R-A, Dhaka",,"1,550 sqft",3,3,21 Thousand
477,"Block F, Bashundhara R-A, Dhaka",,"1,735 sqft",3,3,32 Thousand
478,"Baitul Aman Housing Society, Adabor, Dhaka",,"1,550 sqft",3,3,30 Thousand
479,"Mohammadpur, Dhaka",,"2,700 sqft",3,3,60 Thousand
480,"Malibagh, Dhaka",,700 sqft,2,2,20 Thousand
481,"Baridhara, Dhaka",,"4,200 sqft",4,4,4 Lakh
482,"Mohammadia Housing Society, Mohammadpur, Dhaka",,"1,550 sqft",3,3,34 Thousand
483,"Block H, Bashundhara R-A, Dhaka",,"1,450 sqft",3,3,26 Thousand
484,"Sector 6, Uttara, Dhaka",,"2,900 sqft",4,4,80 Thousand
485,"Block K, Baridhara, Dhaka",,"2,800 sqft",4,4,1.2 Lakh
486,"Gulshan 2, Gulshan, Dhaka",,"2,350 sqft",3,4,80 Thousand
487,"Baridhara, Dhaka",,"3,200 sqft",4,4,2 Lakh
488,"Banani, Dhaka",,"3,000 sqft",4,5,1.2 Lakh
489,"Sector 9, Uttara, Dhaka",,"2,000 sqft",3,3,35 Thousand
490,"Gulshan 1, Gulshan, Dhaka",,"2,800 sqft",3,3,85 Thousand
491,"Sector 3, Uttara, Dhaka",,"1,550 sqft",3,3,30 Thousand
492,"Sector 1, Uttara, Dhaka",,"2,600 sqft",4,4,50 Thousand
493,"Section 10, Mirpur, Dhaka",,650 sqft,2,2,14 Thousand
494,"Sector 14, Uttara, Dhaka",,900 sqft,3,2,20 Thousand
495,"Gulshan 1, Gulshan, Dhaka",,"2,100 sqft",3,3,60 Thousand
496,"Dakkhin Paikpara, Paikpara, Mirpur, Dhaka",,"1,100 sqft",3,2,17 Thousand
497,"Dhanmondi, Dhaka",,"1,600 sqft",3,4,37 Thousand
498,"Banani, Dhaka",,"2,700 sqft",3,3,1.4 Lakh
